NHPDPropertyID,PropertyName,Latitude,Longitude,PropertyStatus,TotalUnits,EarliestStartDate,EarliestEndDate,LatestEndDate
1064940,PITTSBORO VILLAGE II,35.7536830,-79.1925040,Active,40,1/1/87,1/1/02,4/19/58
1063587,BLANTON STREET APARTMENTS A B C D,35.2877000,-81.5478100,Inconclusive,4,1/1/90,1/1/20,1/1/20
1063697,PINE RIDGE: LOT 1,35.8129500,-77.8580400,Inconclusive,1,1/1/90,1/1/20,1/1/20
1102101,QUARTERPATH VILLAGE,35.7176010,-77.9179000,Inconclusive,1,1/1/90,1/1/20,1/1/20
1109003,LONGVIEW APARTMENTS (MAYSVILLE),34.9053400,-77.2326300,Active,24,1/1/90,1/1/20,6/28/40
1116369,MEADOWGREEN APARTMENTS III,36.3513600,-79.6891500,Active,50,1/3/80,1/1/20,12/22/40
1063198,YADKIN APARTMENTS II,36.2355880,-80.8382200,Inconclusive,25,10/24/15,10/23/20,10/23/20
1004758,SHEPHERD HOUSE,36.1317900,-79.7724000,Active,21,6/1/06,11/24/20,5/1/41
1063247,SOUTHMONT APARTMENTS,35.7381200,-81.6923200,Active,29,7/1/93,11/30/20,2/1/39
1063218,HAVELOCK HILL,34.8806200,-76.8889000,Active,54,5/1/02,12/21/20,11/1/46
1119962,ROLLING HILLS ESTATES,36.4295680,-77.9087210,Active,40,12/22/80,12/21/20,12/11/30
1063205,ARC/HDS ALAMANCE CO GH #6,36.0925700,-79.5092400,Inconclusive,6,12/23/15,12/22/20,12/22/20
1063159,ARLINGTON HILL,36.2312100,-80.8334400,Active,48,1/1/04,12/31/20,10/1/47
1063476,ROLLING HILLS APARTMENTS,36.1030700,-80.2182600,Active,110,1/1/91,1/1/21,11/30/36
1063574,LINCOLN GROVE APARTMENTS,36.0751200,-79.7462100,Inconclusive,116,1/1/91,1/1/21,1/1/21
1063761,409 SYKES AVE,36.0834800,-79.7477300,Inconclusive,6,1/1/91,1/1/21,1/1/21
1063762,405 FLINT ST,35.2706800,-81.1649300,Inconclusive,9,1/1/91,1/1/21,1/1/21
1063772,KENT STREET APARTMENTS,34.2289100,-77.9177800,Inconclusive,12,1/1/91,1/1/21,1/1/21
1063775,LONDON CHURCH ROAD APARTMENTS,35.7391600,-77.8886600,Inconclusive,26,1/1/91,1/1/21,1/1/21
1063785,SENIOR VILLAGE,35.3034800,-81.5236000,Inconclusive,36,1/1/91,1/1/21,1/1/21
1063786,SPENCER STREET APARTMENTS,36.0681600,-79.7580880,Inconclusive,20,1/1/91,1/1/21,1/1/21
1063788,TATEM VILLAGE,36.2916600,-76.2232000,Inconclusive,19,1/1/91,1/1/21,1/1/21
1063789,TEAMWORK FOR HOUSING,35.8901200,-80.0635200,Inconclusive,19,1/1/91,1/1/21,1/1/21
1064594,N WARRENTON VILLAGE,36.3237590,-78.1467170,Inconclusive,18,1/1/91,1/1/21,1/1/21
1111251,CURRIN APARTMENTS,35.4070200,-78.6775500,Active,16,1/1/91,1/1/21,6/12/47
1114756,LONG CREEK COURT,36.2244350,-78.4513130,Active,14,1/1/91,1/1/21,9/23/41
1115861,NEW CHERRYWOOD APARTMENTS,35.3785400,-81.3619300,Active,48,1/1/91,1/1/21,5/31/40
1115947,PUNGO VILLAGE,35.5110800,-76.6559000,Active,38,1/1/91,1/1/21,2/27/41
1116867,ELK COURT APARTMENTS,36.2697440,-80.8519840,Active,40,1/1/91,1/1/21,3/11/40
1117164,SNOW HILL RIDGE,35.4467400,-77.6634400,Active,32,1/1/91,1/1/21,10/30/32
